name
BTC/USD
ETH/USD
SOL/USD
BTC/USDT
MATIC/USD
SOL/USDT
ETH/USDT
BCH/USD
AAVE/USD
SUSHI/USD
LTC/USDT
AVAX/USD
DOGE/USD
BCH/USDT
GRT/USD
LTC/USD
USDT/USD
DOGE/BTC
SUSHI/USDT
LINK/USD
DOGE/USDT
UNI/USD
AVAX/USDT
TRX/USD
PAXG/USD
SUSHI/BTC
AAVE/USDT
AVAX/BTC
LTC/BTC
SHIB/USD
UNI/USDT
WBTC/USD
BCH/BTC
ETH/BTC
TRX/USDT
UNI/BTC
LINK/USDT
DAI/USD
MKR/USD
YFI/USD
KSHIB/USD
SOL/BTC
BAT/USD
LINK/BTC
YFI/USDT
MATIC/BTC
BRZ/USD
YFI/BTC
EUR/USD
BRZ/USDT
CUSDT/USD
CAD/USD
PAXG/USDT
CUSDT/USDT
BTC/EUR
BTC/BRZ
BTC/AUD
DAI/USDT
ETH/AUD
ETH/EUR
AUD/USD
GBP/USD
